Floor Plan,Point Id,Label,Protocol,Band,MeasurementType,Channel,Frequency,DL Power(dBm),DL S/N(dB),DL FBER(%),DL DAQ,DL BER(%),DL Signal Power(dBm),UL Power(dBm),UL S/N(dB),UL FBER(%),UL DAQ,UL BER(%),UL Signal Power(dBm),Selected Reference,Comment,Latitude,Longitude
L1,1,,Custom Channel Power,Test Channels,29,8531,853.1,-82.69,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.000088,-79.999843
L1,1,,Custom Channel Power,Test Channels,29,853175,853.175,-117.91,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.000088,-79.999843
L1,2,,Custom Channel Power,Test Channels,29,8531,853.1,-80.86,,,,,,,,,,,,FALSE,[CWMeta:ANT21;0;FLAGS;0;],40.000161,-79.999349
L1,2,,Custom Channel Power,Test Channels,29,853175,853.175,-95.35,,,,,,,,,,,,FALSE,[CWMeta:ANT21;0;FLAGS;0;],40.000161,-79.999349
L1,3,,Custom Channel Power,Test Channels,29,8531,853.1,-75.78,,,,,,,,,,,,FALSE,[CWMeta:ANT22;0;FLAGS;0;],40.000163,-79.999791
L1,3,,Custom Channel Power,Test Channels,29,853175,853.175,-119.94,,,,,,,,,,,,FALSE,[CWMeta:ANT22;0;FLAGS;0;],40.000163,-79.999791
L1,4,,Custom Channel Power,Test Channels,29,8531,853.1,-70.04,,,,,,,,,,,,FALSE,[CWMeta:ANT23;0;FLAGS;0;],40.00028,-79.999528
L1,4,,Custom Channel Power,Test Channels,29,853175,853.175,-101.29,,,,,,,,,,,,FALSE,[CWMeta:ANT23;0;FLAGS;0;],40.00028,-79.999528
L1,5,,Custom Channel Power,Test Channels,29,8531,853.1,-65.2,,,,,,,,,,,,FALSE,[CWMeta:ANT20;0;FLAGS;0;],40.000398,-79.999318
L1,5,,Custom Channel Power,Test Channels,29,853175,853.175,-95.76,,,,,,,,,,,,FALSE,[CWMeta:ANT20;0;FLAGS;0;],40.000398,-79.999318
L1,6,,Custom Channel Power,Test Channels,29,8531,853.1,-76.37,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.000448,-79.999301
L1,6,,Custom Channel Power,Test Channels,29,853175,853.175,-108.94,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.000448,-79.999301
L1,7,,Custom Channel Power,Test Channels,29,8531,853.1,-86.27,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.00028,-79.999265
L1,7,,Custom Channel Power,Test Channels,29,853175,853.175,-74.96,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.00028,-79.999265
L1,8,,Custom Channel Power,Test Channels,29,8531,853.1,-93.72,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.000061,-79.999328
L1,8,,Custom Channel Power,Test Channels,29,853175,853.175,-91.55,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.000061,-79.999328
L1,9,,Custom Channel Power,Test Channels,29,8531,853.1,,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.000057,-79.99948
L1,9,,Custom Channel Power,Test Channels,29,853175,853.175,,,,,,,,,,,,,FALSE,[CWMeta:NAME;0;FLAGS;0;],40.000057,-79.99948
